# OpenMATB scenario generator

# Name: block1
# Date: 16/04/2026 08:00:06


# Block n° 1. Technical load = 48.3 %
0:00:00;track;start
0:00:00;track;targetproportion;0.30000000000000004
0:00:00;sysmon;start
0:01:52;sysmon;lights-2-failure;True
0:02:30;sysmon;lights-1-failure;True
0:02:42;sysmon;lights-2-failure;True
0:02:57;sysmon;lights-1-failure;True
0:03:49;sysmon;lights-2-failure;True
0:04:09;sysmon;lights-1-failure;True
0:00:23;sysmon;scales-1-failure;True
0:02:45;sysmon;scales-3-failure;True
0:03:21;sysmon;scales-4-failure;True
0:03:35;sysmon;scales-3-failure;True
0:03:59;sysmon;scales-1-failure;True
0:04:40;sysmon;scales-2-failure;True
0:00:00;resman;start
0:00:00;resman;tank-a-lossperminute;900
0:00:00;resman;tank-b-lossperminute;900

# Block n° 2. Technical load = 48.3 %
0:05:00;track;targetproportion;0.30000000000000004
0:06:29;sysmon;lights-1-failure;True
0:07:21;sysmon;lights-2-failure;True
0:08:04;sysmon;lights-1-failure;True
0:08:16;sysmon;lights-2-failure;True
0:09:04;sysmon;lights-2-failure;True
0:09:25;sysmon;lights-1-failure;True
0:05:04;sysmon;scales-4-failure;True
0:06:57;sysmon;scales-2-failure;True
0:07:16;sysmon;scales-1-failure;True
0:07:58;sysmon;scales-3-failure;True
0:08:41;sysmon;scales-1-failure;True
0:09:05;sysmon;scales-4-failure;True
0:05:00;resman;tank-a-lossperminute;900
0:05:00;resman;tank-b-lossperminute;900

# Block n° 3. Technical load = 48.3 %
0:10:00;track;targetproportion;0.30000000000000004
0:10:02;sysmon;lights-1-failure;True
0:12:09;sysmon;lights-2-failure;True
0:12:47;sysmon;lights-1-failure;True
0:13:21;sysmon;lights-2-failure;True
0:13:48;sysmon;lights-2-failure;True
0:14:22;sysmon;lights-1-failure;True
0:10:10;sysmon;scales-1-failure;True
0:10:23;sysmon;scales-1-failure;True
0:11:51;sysmon;scales-3-failure;True
0:12:31;sysmon;scales-4-failure;True
0:12:44;sysmon;scales-3-failure;True
0:14:09;sysmon;scales-2-failure;True
0:10:00;resman;tank-a-lossperminute;900
0:10:00;resman;tank-b-lossperminute;900

# Block n° 4. Technical load = 48.3 %
0:15:00;track;targetproportion;0.30000000000000004
0:15:10;sysmon;lights-2-failure;True
0:15:31;sysmon;lights-1-failure;True
0:16:57;sysmon;lights-1-failure;True
0:18:22;sysmon;lights-2-failure;True
0:18:48;sysmon;lights-1-failure;True
0:19:18;sysmon;lights-2-failure;True
0:15:03;sysmon;scales-4-failure;True
0:15:20;sysmon;scales-1-failure;True
0:15:31;sysmon;scales-3-failure;True
0:15:57;sysmon;scales-1-failure;True
0:17:27;sysmon;scales-2-failure;True
0:19:29;sysmon;scales-3-failure;True
0:15:00;resman;tank-a-lossperminute;900
0:15:00;resman;tank-b-lossperminute;900
0:20:00;resman;stop
0:20:00;track;stop
0:20:00;sysmon;stop
